Participant,Trial,Correct_Response,Illusion_Type,Illusion_Strength,Illusion_Difference,isi
6n6ab83d1c,1.0,arrowright,Ebbinghaus,1.0,-1.4,8858785.0
6n6ab83d1c,2.0,arrowright,Ebbinghaus,-1.0,-1.4,8861538.0
6n6ab83d1c,3.0,arrowleft,Ebbinghaus,1.0,1.4,8863375.0
6n6ab83d1c,4.0,arrowleft,Ebbinghaus,-0.15,1.4,8865063.0
6n6ab83d1c,5.0,arrowright,Ebbinghaus,-0.15,-1.4,8866527.0
6n6ab83d1c,6.0,arrowright,Ebbinghaus,0.15,-1.4,8867934.0
6n6ab83d1c,7.0,arrowleft,Ebbinghaus,-1.0,1.4,8869729.0
6n6ab83d1c,8.0,arrowleft,Ebbinghaus,0.15,1.4,8871260.0
6n6ab83d1c,9.0,arrowdown,MullerLyer,3.0,-0.7,8893234.0
6n6ab83d1c,10.0,arrowdown,MullerLyer,23.0,-0.7,8894839.0
6n6ab83d1c,11.0,arrowdown,MullerLyer,-23.0,-0.7,8896569.0
6n6ab83d1c,12.0,arrowup,MullerLyer,23.0,0.7,8897818.0
6n6ab83d1c,13.0,arrowup,MullerLyer,-23.0,0.7,8899330.0
6n6ab83d1c,14.0,arrowup,MullerLyer,3.0,0.7,8901045.0
6n6ab83d1c,15.0,arrowup,MullerLyer,-3.0,0.7,8902562.0
6n6ab83d1c,16.0,arrowdown,MullerLyer,-3.0,-0.7,8903889.0
6n6ab83d1c,17.0,arrowright,VerticalHorizontal,33.0,-0.9,8918665.0
6n6ab83d1c,18.0,arrowright,VerticalHorizontal,-33.0,-0.9,8920477.0
6n6ab83d1c,19.0,arrowleft,VerticalHorizontal,-4.5,0.9,8922122.0
6n6ab83d1c,20.0,arrowleft,VerticalHorizontal,-33.0,0.9,8923354.0
6n6ab83d1c,21.0,arrowright,VerticalHorizontal,-4.5,-0.9,8924995.0
6n6ab83d1c,22.0,arrowleft,VerticalHorizontal,4.5,0.9,8926406.0
6n6ab83d1c,23.0,arrowright,VerticalHorizontal,4.5,-0.9,8927700.0
6n6ab83d1c,24.0,arrowleft,VerticalHorizontal,33.0,0.9,8929117.0
6n6ab83d1c,1.0,arrowup,MullerLyer,15.0,0.08716,8970084.0
6n6ab83d1c,2.0,arrowup,MullerLyer,-15.0,0.18509,8971650.0
6n6ab83d1c,3.0,arrowdown,MullerLyer,-3.0,-0.18509,8972781.0
6n6ab83d1c,4.0,arrowup,MullerLyer,9.0,0.45,8974245.0
6n6ab83d1c,5.0,arrowdown,MullerLyer,-27.0,-0.30447,8975691.0
6n6ab83d1c,6.0,arrowdown,MullerLyer,-21.0,-0.30447,8977264.0
6n6ab83d1c,7.0,arrowup,MullerLyer,-27.0,0.30447,8978899.0
6n6ab83d1c,8.0,arrowup,MullerLyer,-21.0,0.45,8980164.0
6n6ab83d1c,9.0,arrowup,MullerLyer,21.0,0.45,8981542.0
6n6ab83d1c,10.0,arrowdown,MullerLyer,15.0,-0.08716,8983485.0
6n6ab83d1c,11.0,arrowup,MullerLyer,-27.0,0.08716,8986528.0
6n6ab83d1c,12.0,arrowdown,MullerLyer,-9.0,-0.08716,8988160.0
6n6ab83d1c,13.0,arrowdown,MullerLyer,-15.0,-0.45,8990049.0
6n6ab83d1c,14.0,arrowdown,MullerLyer,9.0,-0.08716,8991636.0
6n6ab83d1c,15.0,arrowdown,MullerLyer,21.0,-0.45,8995700.0
6n6ab83d1c,16.0,arrowdown,MullerLyer,-21.0,-0.45,8997438.0
6n6ab83d1c,17.0,arrowdown,MullerLyer,15.0,-0.30447,8998735.0
6n6ab83d1c,18.0,arrowup,MullerLyer,-3.0,0.08716,9001274.0
6n6ab83d1c,19.0,arrowup,MullerLyer,-3.0,0.30447,9003513.0
6n6ab83d1c,20.0,arrowup,MullerLyer,21.0,0.08716,9005244.0
6n6ab83d1c,21.0,arrowdown,MullerLyer,3.0,-0.45,9006466.0
6n6ab83d1c,22.0,arrowup,MullerLyer,-9.0,0.08716,9007931.0
6n6ab83d1c,23.0,arrowdown,MullerLyer,15.0,-0.18509,9009694.0
6n6ab83d1c,24.0,arrowdown,MullerLyer,-27.0,-0.45,9011622.0
6n6ab83d1c,25.0,arrowdown,MullerLyer,27.0,-0.45,9013074.0
6n6ab83d1c,26.0,arrowup,MullerLyer,-3.0,0.45,9014966.0
6n6ab83d1c,27.0,arrowup,MullerLyer,-27.0,0.18509,9016654.0
6n6ab83d1c,28.0,arrowup,MullerLyer,-15.0,0.08716,9018023.0
6n6ab83d1c,29.0,arrowdown,MullerLyer,-15.0,-0.08716,9019394.0
6n6ab83d1c,30.0,arrowup,MullerLyer,27.0,0.18509,9020933.0
6n6ab83d1c,31.0,arrowup,MullerLyer,15.0,0.18509,9022253.0
6n6ab83d1c,32.0,arrowup,MullerLyer,-15.0,0.30447,9023899.0
6n6ab83d1c,33.0,arrowup,MullerLyer,-21.0,0.08716,9025267.0
6n6ab83d1c,34.0,arrowup,MullerLyer,15.0,0.45,9027177.0
6n6ab83d1c,35.0,arrowup,MullerLyer,9.0,0.18509,9029719.0
6n6ab83d1c,36.0,arrowup,MullerLyer,-9.0,0.18509,9031890.0
6n6ab83d1c,37.0,arrowdown,MullerLyer,-9.0,-0.45,9033516.0
6n6ab83d1c,38.0,arrowup,MullerLyer,3.0,0.08716,9034790.0
6n6ab83d1c,39.0,arrowdown,MullerLyer,-3.0,-0.08716,9036933.0
6n6ab83d1c,40.0,arrowup,MullerLyer,15.0,0.30447,9038998.0
6n6ab83d1c,41.0,arrowdown,MullerLyer,-21.0,-0.08716,9041089.0
6n6ab83d1c,42.0,arrowdown,MullerLyer,-27.0,-0.18509,9042474.0
6n6ab83d1c,43.0,arrowup,MullerLyer,-27.0,0.45,9043689.0
6n6ab83d1c,44.0,arrowup,MullerLyer,3.0,0.45,9045331.0
6n6ab83d1c,45.0,arrowup,MullerLyer,-21.0,0.18509,9046627.0
6n6ab83d1c,46.0,arrowdown,MullerLyer,9.0,-0.30447,9048057.0
6n6ab83d1c,47.0,arrowdown,MullerLyer,3.0,-0.30447,9049422.0
6n6ab83d1c,48.0,arrowup,MullerLyer,9.0,0.08716,9050693.0
6n6ab83d1c,49.0,arrowdown,MullerLyer,-15.0,-0.18509,9052607.0
6n6ab83d1c,50.0,arrowdown,MullerLyer,-3.0,-0.30447,9054146.0
6n6ab83d1c,51.0,arrowup,MullerLyer,-21.0,0.30447,9055334.0
6n6ab83d1c,52.0,arrowup,MullerLyer,-15.0,0.45,9056647.0
6n6ab83d1c,53.0,arrowdown,MullerLyer,9.0,-0.18509,9057832.0
6n6ab83d1c,54.0,arrowdown,MullerLyer,-15.0,-0.30447,9059828.0
6n6ab83d1c,55.0,arrowup,MullerLyer,-3.0,0.18509,9061041.0
6n6ab83d1c,56.0,arrowup,MullerLyer,27.0,0.08716,9062535.0
6n6ab83d1c,57.0,arrowdown,MullerLyer,21.0,-0.18509,9064601.0
6n6ab83d1c,58.0,arrowdown,MullerLyer,9.0,-0.45,9066328.0
6n6ab83d1c,59.0,arrowdown,MullerLyer,3.0,-0.08716,9068010.0
6n6ab83d1c,60.0,arrowdown,MullerLyer,21.0,-0.08716,9070726.0
6n6ab83d1c,61.0,arrowup,MullerLyer,27.0,0.30447,9072248.0
6n6ab83d1c,62.0,arrowdown,MullerLyer,-9.0,-0.18509,9073972.0
6n6ab83d1c,63.0,arrowdown,MullerLyer,-3.0,-0.45,9075399.0
6n6ab83d1c,64.0,arrowdown,MullerLyer,27.0,-0.08716,9076832.0
6n6ab83d1c,65.0,arrowdown,MullerLyer,3.0,-0.18509,9078174.0
6n6ab83d1c,66.0,arrowup,MullerLyer,21.0,0.18509,9079944.0
6n6ab83d1c,67.0,arrowup,MullerLyer,3.0,0.18509,9081805.0
6n6ab83d1c,68.0,arrowup,MullerLyer,27.0,0.45,9083235.0
6n6ab83d1c,69.0,arrowdown,MullerLyer,21.0,-0.30447,9084838.0
6n6ab83d1c,70.0,arrowdown,MullerLyer,-9.0,-0.30447,9086350.0
