Participant,Trial,Answer,Correct,Correct_Answer,Condition,RT,Response,Shape
6n6ab83d1c,1.0,You,True,You,Self,3598.0,v,square
6n6ab83d1c,2.0,Pink,True,Pink,Stranger,2587.0,b,circle
6n6ab83d1c,3.0,You,True,You,Self,2691.0,v,square
6n6ab83d1c,4.0,You,True,You,Self,3209.0,v,square
6n6ab83d1c,5.0,You,True,You,Self,1996.0,v,square
6n6ab83d1c,6.0,Pink,True,Pink,Stranger,3018.0,b,circle
6n6ab83d1c,7.0,Mariam,True,Mariam,Friend,1562.0,n,triangle
6n6ab83d1c,8.0,Pink,True,Pink,Stranger,3169.0,b,circle
6n6ab83d1c,9.0,You,True,You,Self,2864.0,v,square
6n6ab83d1c,10.0,Pink,True,Pink,Stranger,2428.0,b,circle
6n6ab83d1c,11.0,Pink,True,Pink,Stranger,1654.0,b,circle
6n6ab83d1c,12.0,You,True,You,Self,1989.0,v,square
6n6ab83d1c,13.0,Pink,True,Pink,Stranger,3455.0,b,circle
6n6ab83d1c,14.0,Pink,True,Pink,Stranger,800.0,b,circle
6n6ab83d1c,15.0,Mariam,True,Mariam,Friend,2915.0,n,triangle
6n6ab83d1c,16.0,Mariam,True,Mariam,Friend,1674.0,n,triangle
6n6ab83d1c,17.0,Pink,True,Pink,Stranger,1233.0,b,circle
6n6ab83d1c,18.0,Mariam,True,Mariam,Friend,2598.0,n,triangle
6n6ab83d1c,19.0,Pink,True,Pink,Stranger,1170.0,b,circle
lxmnawcu9z,1.0,,False,Rihanna,Stranger,,,triangle
lxmnawcu9z,2.0,Femke,True,Femke,Friend,2566.0,n,circle
lxmnawcu9z,3.0,You,True,You,Self,1521.0,v,square
lxmnawcu9z,4.0,You,True,You,Self,1251.0,v,square
lxmnawcu9z,5.0,Femke,True,Femke,Friend,1172.0,n,circle
lxmnawcu9z,6.0,Rihanna,True,Rihanna,Stranger,795.0,b,triangle
lxmnawcu9z,7.0,Rihanna,True,Rihanna,Stranger,1237.0,b,triangle
lxmnawcu9z,8.0,You,True,You,Self,894.0,v,square
lxmnawcu9z,9.0,Femke,True,Femke,Friend,699.0,n,circle
lxmnawcu9z,10.0,Rihanna,True,Rihanna,Stranger,1151.0,b,triangle
lxmnawcu9z,11.0,You,True,You,Self,619.0,v,square
lxmnawcu9z,12.0,Femke,True,Femke,Friend,603.0,n,circle
lxmnawcu9z,13.0,Femke,True,Femke,Friend,775.0,n,circle
lxmnawcu9z,14.0,Rihanna,True,Rihanna,Stranger,811.0,b,triangle
lxmnawcu9z,15.0,Rihanna,True,Rihanna,Stranger,939.0,b,triangle
lxmnawcu9z,16.0,You,True,You,Self,730.0,v,square
lxmnawcu9z,17.0,You,True,You,Self,629.0,v,square
lxmnawcu9z,18.0,Rihanna,True,Rihanna,Stranger,1447.0,b,triangle
lxmnawcu9z,19.0,You,True,You,Self,685.0,v,square
lxmnawcu9z,20.0,Rihanna,True,Rihanna,Stranger,594.0,b,triangle
f1fw4wnf00,1.0,,False,Martijn,Friend,,,triangle
f1fw4wnf00,2.0,Martijn,True,Martijn,Friend,3327.0,n,triangle
f1fw4wnf00,3.0,Martijn,True,Martijn,Friend,1078.0,n,triangle
f1fw4wnf00,4.0,You,True,You,Self,1766.0,v,circle
f1fw4wnf00,5.0,Bono,True,Bono,Stranger,1314.0,b,square
f1fw4wnf00,6.0,Martijn,True,Martijn,Friend,1600.0,n,triangle
f1fw4wnf00,7.0,You,True,You,Self,1238.0,v,circle
f1fw4wnf00,8.0,Bono,True,Bono,Stranger,1008.0,b,square
f1fw4wnf00,9.0,Martijn,True,Martijn,Friend,1222.0,n,triangle
f1fw4wnf00,10.0,Bono,True,Bono,Stranger,874.0,b,square
f1fw4wnf00,11.0,Bono,True,Bono,Stranger,1022.0,b,square
f1fw4wnf00,12.0,You,True,You,Self,599.0,v,circle
f1fw4wnf00,13.0,Bono,True,Bono,Stranger,798.0,b,square
f1fw4wnf00,14.0,You,True,You,Self,1534.0,v,circle
f1fw4wnf00,15.0,Martijn,True,Martijn,Friend,1283.0,n,triangle
f1fw4wnf00,16.0,You,True,You,Self,1169.0,v,circle
f1fw4wnf00,17.0,Martijn,True,Martijn,Friend,980.0,n,triangle
f1fw4wnf00,18.0,You,True,You,Self,1326.0,v,circle
f1fw4wnf00,19.0,Martijn,True,Martijn,Friend,951.0,n,triangle
f1fw4wnf00,20.0,You,True,You,Self,607.0,v,circle
p0blnsv7dy,1.0,Dai,True,Dai,Friend,4166.0,n,circle
p0blnsv7dy,2.0,Dai,True,Dai,Friend,2649.0,n,circle
p0blnsv7dy,3.0,You,True,You,Self,2480.0,v,triangle
p0blnsv7dy,4.0,Seal,True,Seal,Stranger,3663.0,b,square
p0blnsv7dy,5.0,Seal,False,You,Self,1883.0,b,triangle
p0blnsv7dy,6.0,You,True,You,Self,3087.0,v,triangle
p0blnsv7dy,7.0,Dai,True,Dai,Friend,2430.0,n,circle
p0blnsv7dy,8.0,Dai,True,Dai,Friend,1298.0,n,circle
p0blnsv7dy,9.0,Dai,True,Dai,Friend,1130.0,n,circle
p0blnsv7dy,10.0,You,True,You,Self,922.0,v,triangle
p0blnsv7dy,11.0,Seal,True,Seal,Stranger,842.0,b,square
p0blnsv7dy,12.0,You,True,You,Self,970.0,v,triangle
p0blnsv7dy,13.0,Seal,True,Seal,Stranger,1146.0,b,square
p0blnsv7dy,14.0,Seal,True,Seal,Stranger,802.0,b,square
p0blnsv7dy,15.0,Dai,True,Dai,Friend,532.0,n,circle
p0blnsv7dy,16.0,Seal,True,Seal,Stranger,643.0,b,square
p0blnsv7dy,17.0,Seal,True,Seal,Stranger,594.0,b,square
p0blnsv7dy,18.0,Seal,True,Seal,Stranger,682.0,b,square
p0blnsv7dy,19.0,Seal,True,Seal,Stranger,874.0,b,square
p0blnsv7dy,20.0,Seal,True,Seal,Stranger,522.0,b,square
p0blnsv7dy,21.0,Dai,True,Dai,Friend,634.0,n,circle
p0blnsv7dy,22.0,You,True,You,Self,458.0,v,triangle
p0blnsv7dy,23.0,You,True,You,Self,666.0,v,triangle
p0blnsv7dy,24.0,Dai,True,Dai,Friend,546.0,n,circle
f6cmay5gj4,1.0,LOUIS,True,LOUIS,Friend,4041.0,n,carré
f6cmay5gj4,2.0,Vous,True,Vous,Self,2223.0,v,triangle
f6cmay5gj4,3.0,Sting,True,Sting,Stranger,1665.0,b,cercle
f6cmay5gj4,4.0,Vous,True,Vous,Self,1375.0,v,triangle
f6cmay5gj4,5.0,Sting,True,Sting,Stranger,3142.0,b,cercle
f6cmay5gj4,6.0,Sting,True,Sting,Stranger,694.0,b,cercle
f6cmay5gj4,7.0,Vous,True,Vous,Self,1071.0,v,triangle
f6cmay5gj4,8.0,Sting,True,Sting,Stranger,866.0,b,cercle
f6cmay5gj4,9.0,LOUIS,True,LOUIS,Friend,1210.0,n,carré
f6cmay5gj4,10.0,Sting,True,Sting,Stranger,634.0,b,cercle
f6cmay5gj4,11.0,Sting,True,Sting,Stranger,724.0,b,cercle
f6cmay5gj4,12.0,LOUIS,True,LOUIS,Friend,2187.0,n,carré
f6cmay5gj4,13.0,Sting,True,Sting,Stranger,917.0,b,cercle
f6cmay5gj4,14.0,LOUIS,True,LOUIS,Friend,1257.0,n,carré
f6cmay5gj4,15.0,LOUIS,True,LOUIS,Friend,1030.0,n,carré
f6cmay5gj4,16.0,LOUIS,True,LOUIS,Friend,1043.0,n,carré
f6cmay5gj4,17.0,Sting,True,Sting,Stranger,1884.0,b,cercle
f6cmay5gj4,18.0,Vous,True,Vous,Self,875.0,v,triangle
f6cmay5gj4,19.0,Sting,True,Sting,Stranger,590.0,b,cercle
5vqv1fur3q,1.0,Pink,True,Pink,Stranger,5511.0,b,carré
