"rt","stimulus","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","question_order","success","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number"
"820","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Informed Consent</h1><p align='left'>In this study, you will be asked to complete [TODO].</p><p align='left'>Your participation in this research will be kept completely confidential. <b>Your responses are entirely anonymous</b>, and no IP address or any identifiers are collected.</p><p align='left'>Your participation contributes to scientific advancement. <b>By participating, you agree to follow the instructions and provide honest answers.</b> If you do not wish to participate this survey, simply close your browser.</p><p align='left'><br><sub><sup>If you have any questions about the project, please contact [TODO] This project has been reviewed and approved by the Ethics Comitee of the University of [TODO].</sup></sub></p>","0","consent","html-button-response","0","821","0.0-0.0","Eminem","Babar","","","","","","","","","","","","","","",""
"2739","","{""sex"":""Male""}","demographics_1","survey-multi-choice","1","3561","0.0-1.0","Eminem","Babar","[0]","","","","","","","","","","","","","",""
"","","","","preload","2","3881","0.0-2.0","Eminem","Babar","","true","false","[]","[]","[]","","","","","","","","",""
"519","<h1>Shape-Label Association Game</h1><p>In this task, you will be shown some <b>shapes</b> that will be assigned to a <b>label</b> (You, Your Best Friend and a Stranger).</p><p>To personalize this game to your own experience, you will first select who you want the friend and the stranger to be.</p>","0","SAT_instructions_general","html-button-response","3","4400","0.0-3.0","Eminem","Babar","","","","","","","","","","","","","","",""
"1296","","{""label_stranger"":""Eminem""}","SAT_strangerlabel","survey-multi-choice","4","5698","0.0-4.0","Eminem","Babar","[0]","","","","","","","","","","","","","",""
"4279","","{""label_friend"":""Babar""}","SAT_friendlabel","survey-text","5","9980","0.0-5.0","Eminem","Babar","","","","","","","","","","","","","","",""
"821","<h1>Practice</h1><p>Each label (i.e., You, Best Friend, Stranger) will be assigned to a specific shape (circle, square or triangle)</p><p>During the practice phase, you will be presented with one of the shapes above a fixation cross, together with the three labels below the fixation cross.</p><p>Your task is to select the label that corresponds with the presented shape as quickly and accurately as possible</p><p>If the correct label is on the <b>left</b>, press <b>'v'</b>.</p><p>If the correct label is in the <b>middle</b>, press <b>'b'</b>.</p><p>If the correct label is on the <b>right</b>, press <b>'n'</b>.</p><br>","0","SAT_instructions_practice","html-button-response","6","10802","0.0-6.0","Eminem","Babar","","","","","","","","","","","","","","",""
"3362","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br><div id ='align-middle'><b>Eminem</b> will be represented by a <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br><div id = 'align-middle'><b>Babar</b> will be represented by a <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br>","0","SAT_assignmentscreen","html-button-response","7","14165","0.0-7.0","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","8","14670","0.0-8.0-0.0","Eminem","Babar","","","","","","","500","","","","","","","",""
"3039","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Babar</b></br></br></br></br>n</div>","b","sat_practicetrial","html-keyboard-response","9","17710","0.0-8.0-1.0","Eminem","Babar","","","","","","","","square","1","Eminem","Babar","false","Friend","",""
