"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","webcam","microphone","vsync_rate","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","correct","type","illusion_strength","illusion_difference","block_number","trial_number"
"true","fullscreen","psychedelic_society","fullscreen","0","1332","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","1357","0.0-1.0","2530","1175","true","chrome","122.0.0","false","Mac OS","true","true","true","60","22/03/2024","16:03:46","1175","2530","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","3412","0.0-2.0","","","","","","","","","","","","","","","","","","","","","2053","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consentement éclairé</h1><p align='left'>Dans cette étude, vous allez devoir compléter deux tâches sous forme de jeux pour mesurer (i) <b>vos capacités d'associations</b> et (ii) votre <b>sensibilité aux illusions visuelles</b>.</p><p align='left'>Vous aurez aussi à compléter trois questionnaires à propos de (i) <b>votre fonctionnement psychologique</b> et (ii) votre <b>dernière expérience avec une substance psychédélique classique</b>.</p><p align='left'>L'étude dure environ 40 minutes au total. Nous vous demandons de veiller à bien rester concentré et à fournir des réponses authentiques.</p><p align='left'>Votre participation à cette recherche est confidentielle. <b>Vos réponses seront totalement anonymisées</b>, et votre adresse IP ni aucune autres informations identifiantes ne sont collectées.</p><p align='left'>Vos données sont essentielles pour nous. Elles contribuent aux avancées scientifiques sur les thérapies-assistées par psychédéliques. <b>En participant, vous acceptez de suivre les instructions et de fournir des réponses honnêtes.</b> Si vous ne souhaitez pas participer à cette étude, vous pouvez simplement fermer votre navigateur.</p><p align='left'>Vous avez également le droit de vous retirer de l'étude à n'importe quel moment, pour cela, vous pouvez simplement fermer votre navigateur web.</p><p align='left'><br><sub><sup>Si vous avez des questions sur le projets, veuillez contacter Baptiste Fauvel (baptiste.fauvel@u-paris.fr). Cette étude a été expertisée et validée par le comité d'éthique de l'université de Paris.</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","5763","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","2350","","{""sex"":""Homme"",""student"":"""",""education"":"""",""language"":""""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","8126","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","2360","","{""age"":""xxx""}","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","12198","0.0-4.0","","","","","","","","","","","","","","","","","","","","","4071","<p style=""font-size:18px; color:black;"">Avez-vous <b>déjà</b> été diagnostiqué pour une des pathologies suivantes ?</p>","1","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","6","13672","0.0-6.0","","","","","","","","","","","","","","","","","","","","","1473","<p style=""font-size:18px; color:black;"">Etes-vous <b>en ce moment</b> diagnostiqué pour une des pathologies suivantes?</p>","1","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","15460","0.0-8.0","","","","","","","","","","","","","","","","","","","","","1788","<p style=""font-size:18px; color:black;"">Méditez-vous régulièrement? E.g. au moins une fois par semaine</p>","1","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","8","17182","0.0-10.0-0.0","","","","","","","","","","","","","","","","","","","","","1720","","{""psych_freq"":""Entre 6 et 10 fois""}","[0]","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","9","18532","0.0-10.0-1.0","","","","","","","","","","","","","","","","","","","","","1348","<p style=""font-size:18px; color:black;"">Avez-vous consommé une substance psychédélique classique (e.g., LSD, champignons à psilocybe, ayahuasca) au cours du derniers mois ?</p>","1","","","","","","","","","","","","","","","","","","","",""
