"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","rt","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","ketamine_T1","fullscreen","0","1714","0.0-0.0","Seal","Martijn","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","1","7689","0.0-1.0","Seal","Martijn","5974","{""Q0"":""3541""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","2","42752","0.0-2.0","Seal","Martijn","35059","{""Q0"":""11-07-2024""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","psychedelics_1","","survey-multi-choice","3","45739","0.0-3.0","Seal","Martijn","2987","{""meditate"":""Yes""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","4","57638","0.0-4.0-0.0","Seal","Martijn","11898","{""sex"":""Male"",""student"":""No"",""education"":""University (masters) <sub><sup>or equivalent</sup></sub>"",""language"":""Native""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","5","64999","0.0-4.0-1.0","Seal","Martijn","7360","{""age"":""49"",""country"":""Netherlands""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","preload","6","65136","0.0-5.0","Seal","Martijn","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_general","","html-button-response","7","106829","0.0-6.0","Seal","Martijn","41691","0","","","","","","<h1>Shape-Label Association Game</h1><p>In this task, you will be shown some <b>shapes</b> that will be assigned to a <b>label</b> (You, Your Best Friend and a Stranger).</p><p>To personalize this game to your own experience, you will first select who you want the friend and the stranger to be.</p>","","","","","","","","","","","","","","","","","","","",""
"","SAT_strangerlabel","","survey-multi-choice","8","110818","0.0-7.0","Seal","Martijn","3987","{""label_stranger"":""Seal""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_friendlabel","","survey-text","9","128924","0.0-8.0","Seal","Martijn","18105","{""label_friend"":""Martijn""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_practice","","html-button-response","10","139997","0.0-9.0","Seal","Martijn","11072","0","","","","","","<h1>Practice</h1><p>Each label (i.e., You, Best Friend, Stranger) will be assigned to a specific shape (circle, square or triangle)</p><p>During the practice phase, you will be presented with one of the shapes above a fixation cross, together with the three labels below the fixation cross.</p><p>Your task is to select the label that corresponds with the presented shape as quickly and accurately as possible</p><p>If the correct label is on the <b>left</b>, press <b>'v'</b>.</p><p>If the correct label is in the <b>middle</b>, press <b>'b'</b>.</p><p>If the correct label is on the <b>right</b>, press <b>'n'</b>.</p><br>","","","","","","","","","","","","","","","","","","","",""
"","SAT_assignmentscreen","","html-button-response","11","151551","0.0-10.0","Seal","Martijn","11552","0","","","","","","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a  <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br><div id ='align-middle'><b>Seal</b> will be represented by a  <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br><div id = 'align-middle'><b>Martijn</b> will be represented by a  <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","12","152064","0.0-11.0-0.0","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","13","157767","0.0-11.0-1.0","Seal","Martijn","5701","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","1","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","14","158279","0.0-11.0-2.0","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","15","158790","0.0-11.0-0.1","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","16","161543","0.0-11.0-1.1","Seal","Martijn","2752","n","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","triangle","2","Martijn","Martijn","true","Friend","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","17","162044","0.0-11.0-2.1","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","18","162555","0.0-11.0-0.2","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
"","sat_practicetrial","","html-keyboard-response","19","163438","0.0-11.0-1.2","Seal","Martijn","882","b","","","","","","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Seal</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>Martijn</b></br></br></br></br>n</div>","","circle","3","Seal","Seal","true","Stranger","","","","","","","","","","","","",""
"","sat_feedback","","html-keyboard-response","20","163949","0.0-11.0-2.2","Seal","Martijn","null","null","","","","","","<p style = 'font-size: 300%; color:green'>Correct!</p>","","","","","","","","","","","","","","","","","","","",""
"","sat_fixationcross","","html-keyboard-response","21","164463","0.0-11.0-0.3","Seal","Martijn","null","null","","","","","","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","500","","","","","","","","","","","","","","","","","","",""
