"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","psychedelics_soc_english","fullscreen","0","2493","0.0-0.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","3508","0.0-1.0","Seal","RoJa","1425","752","true","chrome","124.0.0","false","Mac OS","true","60.13","true","true","25/04/2024","09:55:55","752","1425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","10775","0.0-2.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","7265","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consent form</h1><p align='left'>In this study, you will have to complete two questionnaires and two tasks.</p><p align='left'>The questionnaires are about your daily psychological functioning, and the tasks are two games to measure your association skills and sensitivity to visual illusions.</p><p align='left'>The questionnaires and tasks must be completed alone. <b>Your participation is confidential and your answers will be anonymized.</b> We do not collect your IP address or any other identifying information.</p><p align='left'>Your data are very valuable to us. In participating, you will contribute to scientific progress. <b>In participating, you accept to follow the instructions and to supply honest answers.</b> You can also refuse to partake without any justification and with absolutely no consequences.</p><p align='left'>If you don't want to participate, or if you want to leave the study, you can simply close your browser.</p><p align='left'>The entire study takes approximately 40 minutes, with questionnaires in between parts of the tasks. Please, stay focused until the screen confirming that your data are saved appears.</p><p align='left'><br><sub><sup>If you have any questions regarding the study, you can email Baptiste Fauvel (baptiste.fauvel@u-paris.fr). This study has been reviewed and approved by the ethical committee of the University of Paris .</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","22878","0.0-3.0-0.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","12101","","{""sex"":""Male"",""student"":""No"",""education"":""University (masters) <sub><sup>or equivalent</sup></sub>"",""language"":""Native""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","31252","0.0-3.0-1.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","8369","","{""age"":""57"",""country"":""USA""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","42507","0.0-4.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","11254","<p style=""font-size:18px; color:black;"">Have you <b>ever</b> been diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","6","44496","0.0-6.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","1988","<p style=""font-size:18px; color:black;"">Are you <b>currently</b> diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","46745","0.0-8.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","2251","<p style=""font-size:18px; color:black;"">Do you meditate regularly? E.g. at least once a week?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","8","59201","0.0-9.0-0.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","12469","","{""Q0"":""20""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","9","75846","0.0-9.0-1.0","Seal","RoJa","","","","","","","","","","","","","","","","","","","","","16652","","{""Q0"":""100+""}","","","","","","","","","","","","","","","","","","","","","","","","",""
